# SDSSJID log(Mbh) log(Lbol)
080857.56+270900.3         8.9651830         45.663342
153641.66+543505.5         8.3334575         45.317292
075101.86+335647.3         8.1078908         45.934634
021125.07-081440.3         8.5716222         45.611659
095601.64+005805.1         7.8924248         45.504683
111250.33+214137.1         9.0898373         45.509744
144136.51+452815.6         8.4989561         45.642978
083653.35+431427.0         8.4861328         45.926180
123417.87+102543.0         8.0089353         45.692422
022417.16-092549.2         8.9195076         45.308602
141441.72+593356.1         8.2897516         45.504795
222733.43+003210.9         8.3369400         45.116400
155807.34+045525.3         9.2119412         45.943184
112004.99+041323.3         8.4142405         46.236458
095544.26+541108.7         7.2350267         45.080539
101508.60+421442.6         8.9516813         45.381312
140659.07+032601.9         8.7028090         45.592020
162030.84-002957.9         9.0376276         45.772807
090755.34+445219.4         7.9663028         45.517185
142204.63+151046.6         8.5846530         45.396933
172937.90+532247.9         9.1268016         45.125745
145306.70+123902.4         8.6937485         45.859860
103448.88+484411.6         8.3651001         45.713247
102748.92+651337.4         7.5538228         45.085464
023240.83-092113.5         8.0734005         45.602569
125439.39+021100.6         8.6025084         45.263753
084033.39+392352.8         9.0466987         45.780381
100542.20+032424.9         7.6298521         45.030050
085841.92+303641.4         8.2855202         45.424526
100853.43+062429.3         8.6867524         45.929150
165313.08+332125.6         7.2928766         45.210754
080105.34+441040.9         9.0317662         46.236466
234259.35+134750.4         8.4131937         45.649077
004459.90-103912.1         8.9236313         45.783885
134938.32+173756.6         8.9210736         45.885942
090602.47+411628.4         9.1239361         45.360736
124300.87+153510.6         9.0510573         45.777166
224533.32+145155.8         7.7890644         45.427024
161550.59+442104.1         7.6528517         45.417174
110522.63+431446.8         8.8325404         45.410648
145637.87+235345.1         8.6843866         46.005500
155700.38+312020.1         9.1289682         46.635251
120251.27+104027.7         9.1685899         45.680590
073115.65+432944.5         7.6824816         45.002517
083950.18+432941.4         8.1959822         45.521792
141531.33+041005.4         9.1504402         46.193619
100225.17+212557.6         8.0959711         45.626418
141307.73-025134.1         8.2970506         45.782140
171838.71+314157.6         8.9463967         45.511727
130502.30+280600.9         8.8949661         45.149781
233010.93-002951.5         8.4731047         45.735042
073003.86+405108.2         8.4699884         45.556133
135306.72+472434.0         8.2113892         45.582299
105518.43+190813.7         9.0438963         45.490336
155550.83+330957.2         8.9682755         45.553041
152200.51+580554.8         7.5717262         45.300213
014946.18-010246.1         8.0179903         45.373743
014501.90-004702.0         8.4885426         45.126435
113908.90+411227.9         8.0488174         45.347699
161119.85+263544.8         8.3875762         46.187347
144347.63+133851.8         9.6032247         45.794452
111054.92+004854.2         8.0873480         46.087585
093409.17+023237.0         8.4615816         45.298339
152341.98+434005.8         8.9506737         46.040942
212417.18+115529.3         8.4080452         45.468663
212457.94-073221.4         8.2242209         45.571243
032420.37-060357.3         8.8133340         45.535181
124912.70+053013.8         7.7886780         45.886542
083337.99+342122.0         8.7825451         46.117060
170237.68+373933.0         8.2552630         46.109065
115628.32+233316.4         8.4125536         45.867303
100012.74+482956.1         9.2179275         45.955334
081928.77+260842.4         8.2416311         45.741740
152036.74+564938.5         8.5594973         45.502676
123712.32+012301.4         8.5716100         45.733529
214801.07-001600.5         8.6096225         45.406242
104056.95+120608.7         8.3647869         45.857721
103521.39+161039.7         7.6283364         45.752909
223750.84-094730.1         8.8954177         45.474812
073800.56+263839.6         8.1091819         45.464365
001638.20-094658.6         8.4909480         46.121928
203846.61-050448.0         8.1969536         45.443542
082106.36+563135.6         7.9463110         45.542548
161119.85+263544.8         8.3875762         46.187347
113604.35+401741.2         8.7287470         45.329948
115146.60+610634.4         8.3945532         46.167650
224547.14-094907.8         7.8582590         45.507043
105221.35+413202.9         8.5182925         46.077447
142329.10+343745.3         8.1941635         45.747764
120016.66+250012.8         8.8215882         46.019915
084018.12+485039.7         8.6457394         45.335838
155956.01+102322.2         8.8245867         46.095267
085141.17+405043.0         8.3529000         45.473627
111834.34+033206.5         8.5972902         45.498380
093237.29+090722.4         8.5295269         45.294623
104502.76+465655.7         8.2740002         45.649711
082128.52+304457.1         8.4496086         45.306695
162817.12+200348.7         8.3414906         46.204359
120221.87+025327.0         8.3763466         45.838396
105910.17+361219.9         8.9275587         45.203503
151108.36+423721.5         8.1610328         45.998267
155137.33+225051.1         8.6612056         45.563279
