# SDSSJID, ra, dec, z, g_last_phot, ge_last_phot, obsflag, FESflag, FEStargflag, CLQflag, radioflag, logL5100, logMBH, logEdd_ratio, LOGL_OIII_5007
085259.22+031320.6  133.246760    3.222392  0.297  17.246  0.007  0  0                N/A  0  0   45.114   8.38   -0.40 41.924
085353.67+133520.1  133.473660   13.588918  0.578  20.663  0.067  0  1    TDSS_FES_HYPQSO  0  0   44.530   8.92   -1.53 41.951
085431.90+253229.4  133.632920   25.541510  0.570  20.503  0.061  0  1    TDSS_FES_HYPQSO  0  0   44.382   8.44   -1.19 41.936
085451.72+012609.9  133.715520    1.436109  0.542  19.500  0.022  0  0                N/A  0  0   44.798   8.31   -0.64 43.020
085626.71+511117.8  134.111320   51.188286  0.543  20.756  0.096  0  0                N/A  0  0   44.535   9.27   -1.87 42.378
090104.75+345524.2  135.269830   34.923389  0.564  20.989  0.057  1  0                N/A  0  0   44.703   9.22   -1.65 42.400
090339.98+241257.6  135.916590   24.216005  0.605  20.762  0.083  0  1    TDSS_FES_HYPQSO  0  0   44.531   9.16   -1.76 41.926
090345.97+391821.0  135.941580   39.305855  0.374  20.397  0.044  0  0                N/A  0  0   44.107   8.92   -1.95 41.379
090355.18+594401.3  135.979930   59.733719  0.567  20.112  0.042  0  0                N/A  0  0   44.400   9.07   -1.80 41.964
090826.12+421529.9  137.108870   42.258331  0.592  21.029  0.087  0  1    TDSS_FES_HYPQSO  0  0   44.359   9.09   -1.87 42.368
091234.00+262828.2  138.141700   26.474520  0.551  20.221  0.066  0  1    TDSS_FES_HYPQSO  0  0   44.448   8.87   -1.55 42.103
091412.69+340915.5  138.552880   34.154305  0.574  20.876  0.056  0  1    TDSS_FES_HYPQSO  0  0   44.387   8.62   -1.37 42.003
091635.00+405514.5  139.145860   40.920708  0.529  21.330  0.117  0  0                N/A  0  0   44.138   8.21   -1.21 41.985
091730.71+110110.6  139.377960   11.019638  0.303  20.365  0.044  1  1        TDSS_FES_DE  0  0   44.246   8.73   -1.62 41.676
091903.57+350236.3  139.764890   35.043419  0.211  19.177  0.023  1  1    TDSS_FES_NQHISN  0  0   44.242   7.71   -0.60 41.646
092109.11+392315.8  140.287990   39.387730  0.329  20.548  0.046  1  0                N/A  1  0   44.092   8.44   -1.49 41.517
092150.22+575615.1  140.459260   57.937534  0.400  20.280  0.049  0  1        TDSS_FES_DE  0  0   44.428   8.91   -1.61 42.433
092223.17+444629.0  140.596540   44.774727  0.536  20.679  0.074  1  0                N/A  0  0   44.512   8.90   -1.53 41.848
092702.30+043308.2  141.759590    4.552285  0.322  19.643  0.025  1  0                N/A  1  0   44.434   8.80   -1.50 41.929
093255.42+651647.0  143.230920   65.279724  0.502  21.233  0.144  0  0                N/A  0  0   44.764   8.72   -1.09 42.166
093258.25+531748.7  143.242740   53.296864  0.466  20.852  0.068  0  0                N/A  0  0   44.301   8.23   -1.06 42.483
093438.57+405629.8  143.660730   40.941628  0.648  18.982  0.034  0  0                N/A  0  0   44.515   9.61   -2.23 42.005
093912.65+033957.1  144.802720    3.665862  0.580  19.714  0.028  0  0                N/A  0  0   44.986   8.99   -1.14 42.774
093931.84+544909.2  144.882690   54.819225  0.292  20.255  0.058  0  0                N/A  0  0   44.235   8.61   -1.51 42.307
094014.01+303902.9  145.058400   30.650818  0.349  19.767  0.038  1  0                N/A  0  0   44.169   8.41   -1.37 41.301
094132.89+000731.1  145.387080    0.125333  0.489  20.649  0.051  1  0                N/A  0  0   44.490   8.01   -0.65 42.140
094307.46+523403.0  145.781090   52.567509  0.349  20.963  0.066  1  0                N/A  0  0   44.110   8.26   -1.29 41.537
094422.93+112958.3  146.095540   11.499547  0.609  20.348  0.046  0  0                N/A  0  0   44.711   9.14   -1.56 42.468
094427.34+474008.3  146.113920   47.668980  0.511  20.167  0.045  0  1    TDSS_FES_HYPQSO  0  0   44.367   8.50   -1.27 41.462
094443.08+580953.2  146.179540   58.164791  0.562  16.877  0.005  0  1    TDSS_FES_NQHISN  0  0   44.963   9.02   -1.19 42.319
094508.26+091616.3  146.284430    9.271216  0.633  20.449  0.070  0  0                N/A  0  0   44.570   8.92   -1.48 41.837
094522.76+334522.1  146.344860   33.756138  0.379  19.906  0.033  1  0                N/A  0  0   44.127   7.44   -0.45 41.489
094820.87+024501.6  147.086960    2.750461  0.348  20.833  0.079  0  0                N/A  0  0   44.289   9.09   -1.93 42.058
094838.89+052127.0  147.162080    5.357516  0.612  20.197  0.040  0  0                N/A  0  0   44.670   8.95   -1.42 42.030
095301.89+443016.7  148.257900   44.504665  0.350  20.807  0.074  1  0                N/A  0  0   44.257   9.01   -1.88 41.599
095547.89+085126.6  148.949570    8.857402  0.287  20.574  0.050  0  0                N/A  0  0   44.108   8.71   -1.73 41.447
095548.33+421507.8  148.951410   42.252190  0.364  20.370  0.054  0  0                N/A  0  0   44.320   8.00   -0.81 41.730
